epoch,train_loss,val_loss,train_acc,val_acc
1,2.291170597076416,2.2736635473039417,0.10966057441253264,0.10069444444444445
2,2.2531938278955206,2.2121073140038385,0.15839860748476936,0.2465277777777778
3,2.159236511009688,2.060081879297892,0.4073107049608355,0.5972222222222222
4,1.918169350287933,1.6898741722106934,0.5683202785030461,0.6840277777777778
5,1.4919911282699558,1.1635549598269992,0.6370757180156658,0.8298611111111112
6,1.0805786704892588,0.8043151564068265,0.7154046997389034,0.8715277777777778
7,0.7890281680358607,0.5644801457722982,0.7815491731940818,0.8888888888888888
8,0.635084179793367,0.4678431683116489,0.8163620539599652,0.8854166666666666
9,0.5698113540030231,0.37686574790212846,0.8294168842471714,0.9166666666666666
10,0.46880858322140234,0.3222183518939548,0.8511749347258486,0.9270833333333334
11,0.4558617027559106,0.3015420171949599,0.8476936466492603,0.9305555555555556
12,0.4025591425889466,0.2780201534430186,0.8798955613577023,0.9375
13,0.3638387911469133,0.22979822092586094,0.8885987815491732,0.9479166666666666
14,0.3126080715988282,0.21106854412290785,0.8999129677980853,0.9548611111111112
15,0.28975374470128507,0.18994503219922385,0.9120974760661444,0.9583333333333334
16,0.2723676003872363,0.19031324320369297,0.9077458659704091,0.9583333333333334
17,0.25004274380580566,0.17731146183278826,0.9234116623150566,0.9618055555555556
18,0.22039922499936804,0.14886445966031817,0.939077458659704,0.9583333333333334
19,0.22554949940132826,0.13268130520979562,0.927763272410792,0.9722222222222222
20,0.19366629984557265,0.12857813056972292,0.9477806788511749,0.9722222222222222
21,0.18965741949199696,0.12857859002219307,0.9416884247171453,0.96875
22,0.177669869286792,0.12064618203375074,0.9460400348128808,0.9618055555555556
23,0.17678692256034823,0.11615651432010862,0.9434290687554395,0.9756944444444444
24,0.15849804060551476,0.11088928000794517,0.9556135770234987,0.9756944444444444
25,0.15434083575990742,0.10654609402020772,0.9538729329852045,0.9791666666666666
26,0.15880180502373617,0.11408842272228664,0.9503916449086162,0.9756944444444444
27,0.13755029792677745,0.10672707110643387,0.9617058311575283,0.9756944444444444
28,0.1317580877904585,0.08975294315152699,0.9608355091383812,0.96875
29,0.13269275506622796,0.098985332581732,0.9643167972149695,0.96875
30,0.12400682786685473,0.09174334175056881,0.9608355091383812,0.9756944444444444
